series,time,value
Z,4:46:43,21091
Z,4:46:43,19015
Z,4:46:43,17964
Z,4:46:43,17556
Z,4:46:43,17664
Z,4:46:43,18488
Z,4:46:43,20358
Z,4:46:43,22226
Z,4:46:43,21233
Z,4:46:43,17127
Z,4:46:43,11906
Z,4:46:43,9665
Z,4:46:43,11095
Z,4:46:43,13192
Z,4:46:43,16711
Z,4:46:43,19868
Z,4:46:43,20870
Z,4:46:43,18466
Z,4:46:43,13571
Z,4:46:43,10602
Z,4:46:43,9310
Z,4:46:43,8670
Z,4:46:43,8806
Z,4:46:43,9554
Z,4:46:43,10515
Z,4:46:43,12166
Z,4:46:43,14613
Z,4:46:43,16993
Z,4:46:43,20108
Z,4:46:43,22660
Z,4:46:43,23146
Z,4:46:43,23143
Z,4:46:43,22535
Z,4:46:43,21285
Z,4:46:43,21284
Z,4:46:43,22298
Z,4:46:43,22831
Z,4:46:43,22235
Z,4:46:43,21033
Z,4:46:43,20211
Z,4:46:43,19558
Z,4:46:43,19524
Z,4:46:43,19358
Z,4:46:43,16979
Z,4:46:43,13902
Z,4:46:43,10976
Z,4:46:43,7952
Z,4:46:43,7906
Z,4:46:43,10555
Z,4:46:43,12752
Z,4:46:43,13646
Z,4:46:43,12327
Z,4:46:43,8362
Z,4:46:43,4021
Z,4:46:43,3188
Z,4:46:43,6589
Z,4:46:43,12254
Z,4:46:43,18602
Z,4:46:43,24008
Z,4:46:43,26250
Z,4:46:43,26443
Z,4:46:43,26783
Z,4:46:43,25966
Z,4:46:43,26849
Z,4:46:43,31313
Z,4:46:43,33436
Z,4:46:43,30814
Z,4:46:43,28317
Z,4:46:43,26244
Z,4:46:43,21866
Z,4:46:43,16066
Z,4:46:43,13043
Z,4:46:43,12069
Z,4:46:43,8774
Z,4:46:43,5933
Z,4:46:43,4368
Z,4:46:43,2646
Z,4:46:43,726
Z,4:46:43,1396
Z,4:46:43,5292
Z,4:46:43,9037
Z,4:46:43,12269
Z,4:46:43,18491
Z,4:46:43,28569
Z,4:46:43,36049
Z,4:46:43,36491
Z,4:46:43,26080
Z,4:46:43,10501
Z,4:46:43,1585
Z,4:46:43,3117
Z,4:46:43,14884
Z,4:46:43,28387
Z,4:46:43,34308
Z,4:46:43,33323
Z,4:46:43,27913
Z,4:46:44,18683
Z,4:46:44,10501
Z,4:46:44,7007
Z,4:46:44,7859
Z,4:46:44,10818
Z,4:46:44,12166
Z,4:46:44,11085
Z,4:46:44,9882
Z,4:46:44,9525
Z,4:46:44,8930
Z,4:46:44,9257
Z,4:46:44,13029
Z,4:46:44,18373
Z,4:46:44,21028
Z,4:46:44,21122
Z,4:46:44,20063
Z,4:46:44,18085
Z,4:46:44,15968
Z,4:46:44,15063
Z,4:46:44,16205
Z,4:46:44,19720
Z,4:46:44,23094
Z,4:46:44,23850
Z,4:46:44,23158
Z,4:46:44,21096
Z,4:46:44,18337
Z,4:46:44,17089
Z,4:46:44,17255
Z,4:46:44,16403
Z,4:46:44,14800
Z,4:46:44,14332
Z,4:46:44,14203
Z,4:46:44,13182
Z,4:46:44,12516
Z,4:46:44,14127
Z,4:46:44,18197
Z,4:46:44,21400
Z,4:46:44,21553
Z,4:46:44,20167
Z,4:46:44,17529
Z,4:46:44,13574
Z,4:46:44,9621
Z,4:46:44,6891
Z,4:46:44,6748
Z,4:46:44,9562
Z,4:46:44,12424
Z,4:46:44,15924
Z,4:46:44,20395
Z,4:46:44,23226
Z,4:46:44,24804
Z,4:46:44,24389
Z,4:46:44,23195
Z,4:46:44,22543
Z,4:46:44,21381
Z,4:46:44,21920
Z,4:46:44,24379
Z,4:46:44,25193
Z,4:46:44,23966
Z,4:46:44,23460
Z,4:46:44,21047
Z,4:46:44,14331
Z,4:46:44,5684
Z,4:46:44,-3820
Z,4:46:44,-10554
Z,4:46:44,-12655
Z,4:46:44,-12392
Z,4:46:44,-10046
Z,4:46:44,-4964
Z,4:46:44,1658
Z,4:46:44,8851
Z,4:46:44,15350
Z,4:46:44,20591
Z,4:46:44,23818
Z,4:46:44,24753
Z,4:46:44,30163
Z,4:46:44,34383
Z,4:46:44,32368
Z,4:46:44,33255
Z,4:46:44,35856
Z,4:46:44,34944
Z,4:46:44,31152
Z,4:46:44,26829
Z,4:46:44,22863
Z,4:46:44,19183
Z,4:46:44,17008
Z,4:46:44,15601
Z,4:46:44,12580
Z,4:46:44,9691
Z,4:46:44,8276
Z,4:46:44,7806
Z,4:46:44,7100
Z,4:46:44,6496
Z,4:46:44,7317
